end,dengue haemorrhagic fever,chikungunya fever,zika virus infection,dengue_fever_gt,insect_repellent_gt,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2014-12-27,0.0,0.0,0.0,0.0,0.0,10.37142857142857,22.2,26.6,27.2,27.37142857142857,33.5,22.4
2015-01-03,0.0,0.0,0.0,0.0,0.0,5.028571428571429,27.8,28.4,28.6,27.914285714285715,33.6,23.8
2015-01-10,0.125,0.04081632653061224,0.0,0.0,0.26,5.514285714285714,16.4,17.2,17.6,27.12857142857143,32.4,24.0
2015-01-17,0.0,0.02040816326530612,0.0,0.0,0.0,13.714285714285714,25.2,29.2,34.4,26.571428571428573,31.4,23.7
2015-01-24,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.8,1.8,25.95,29.9,24.2
2015-01-31,0.0,0.02040816326530612,0.0,0.0,0.66,0.1999999999999999,0.6,0.6,0.6,26.566666666666663,30.7,24.5
2015-02-07,0.0,0.04081632653061224,0.0,0.0,0.53,11.285714285714286,26.6,28.2,33.6,26.428571428571427,32.4,23.3
2015-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12857142857143,31.5,24.0
2015-02-21,0.125,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.942857142857143,30.9,23.9
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.071428571428573,31.8,24.0
2015-03-07,0.125,0.0,0.0,0.34,0.0,2.1142857142857143,6.4,8.2,10.8,26.25714285714286,31.2,23.6
2015-03-14,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,26.65714285714285,31.1,23.3
2015-03-21,0.0,0.02040816326530612,0.0,0.0,0.0,0.5714285714285714,2.6,2.6,3.6,27.285714285714285,32.4,23.1
2015-03-28,0.125,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,27.7,33.6,24.5
2015-04-04,0.125,0.02040816326530612,0.0,0.0,0.34,2.0,11.8,13.0,14.0,28.1,34.4,23.4
2015-04-11,0.0,0.0,0.0,0.0,0.0,6.571428571428571,23.6,25.2,29.8,27.685714285714287,33.7,23.7
2015-04-18,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.342857142857145,33.4,25.7
2015-04-25,0.0,0.04081632653061224,0.0,0.3,0.65,0.9142857142857144,6.4,6.4,6.4,28.62857142857143,33.1,23.6
2015-05-02,0.0,0.0,0.0,0.51,0.0,6.171428571428572,12.4,13.4,13.6,27.728571428571428,33.4,24.5
2015-05-09,0.0,0.02040816326530612,0.0,0.0,0.0,1.6857142857142855,8.6,8.8,8.8,28.74285714285714,33.7,25.1
2015-05-16,0.125,0.0,0.0,0.0,0.0,0.0857142857142857,0.6,0.6,0.6,29.31428571428572,34.4,25.9
2015-05-23,0.0,0.0,0.0,0.38,0.0,1.8571428571428568,4.2,6.4,8.2,28.685714285714287,34.1,24.0
2015-05-30,0.25,0.04081632653061224,0.0,0.0,0.0,5.571428571428571,13.2,16.2,16.4,27.985714285714288,33.3,24.0
2015-06-06,0.125,0.02040816326530612,0.0,1.0,0.0,4.771428571428571,9.2,11.6,18.0,28.24285714285714,33.2,24.0
2015-06-13,0.125,0.0,0.0,0.41000000000000003,0.0,4.2,16.4,16.6,16.6,28.957142857142856,34.2,24.9
2015-06-20,0.0,0.02040816326530612,0.0,0.0,0.0,1.1142857142857143,1.8,2.8,4.4,28.785714285714285,33.0,25.3
2015-06-27,0.0,0.0,0.0,0.0,0.33,0.2857142857142857,1.0,1.4,1.4,29.071428571428573,34.2,25.4
2015-07-04,0.0,0.0,0.0,0.0,0.25,2.4,7.6,9.2,12.8,29.214285714285715,34.3,24.9
2015-07-11,0.0,0.0,0.0,0.0,0.0,6.942857142857142,17.2,18.6,19.4,28.15714285714285,32.5,24.7
2015-07-18,0.0,0.02040816326530612,0.0,0.0,0.0,2.5142857142857147,5.2,8.6,9.2,28.47142857142857,32.4,24.2
2015-07-25,0.0,0.061224489795918366,0.0,0.0,0.33,0.0,0.0,0.0,0.0,29.97142857142857,33.2,28.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,5.971428571428571,15.4,20.4,22.2,29.057142857142857,32.8,22.1
2015-08-08,0.0,0.061224489795918366,0.0,0.0,0.21,4.857142857142857,17.4,19.8,20.0,29.11428571428572,32.4,23.6
2015-08-15,0.0,0.02040816326530612,0.0,0.38,0.0,6.771428571428571,41.6,45.0,45.6,29.228571428571428,32.6,24.2
2015-08-22,0.0,0.04081632653061224,0.0,0.0,0.0,0.0857142857142857,0.4,0.4,0.4,29.442857142857143,32.7,26.4
2015-08-29,0.0,0.0,0.0,0.0,0.0,1.0571428571428572,2.8,2.8,2.8,28.32857142857143,32.7,24.1
2015-09-05,0.0,0.0,0.0,0.0,0.28,11.771428571428572,26.6,28.0,28.2,27.585714285714285,32.1,22.6
2015-09-12,0.0,0.02040816326530612,0.0,0.0,0.15,11.2,29.4,47.8,57.6,28.242857142857144,32.3,22.7
2015-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.885714285714283,32.7,26.2
2015-09-26,0.0,0.02040816326530612,0.0,0.0,0.0,3.1714285714285717,19.0,22.2,22.2,28.928571428571427,33.1,24.4
2015-10-03,0.0,0.061224489795918366,0.0,0.0,0.0,0.2285714285714286,1.2,1.2,1.2,29.2,33.2,25.9
2015-10-10,0.0,0.02040816326530612,0.0,0.0,0.21,2.4857142857142853,13.2,16.8,17.4,28.485714285714288,32.7,23.6
2015-10-17,0.0,0.08163265306122448,0.0,0.0,0.0,4.971428571428571,11.6,15.2,16.4,28.385714285714283,32.8,23.1
2015-10-24,0.0,0.02040816326530612,0.0,0.17,0.0,0.6857142857142857,4.6,4.6,4.6,28.942857142857143,32.6,26.0
2015-10-31,0.0,0.0,0.0,0.62,0.0,4.685714285714285,19.2,19.6,19.6,28.314285714285717,32.3,23.5
2015-11-07,0.0,0.04081632653061224,0.0,0.0,0.0,2.942857142857143,17.4,17.4,17.4,28.442857142857143,33.0,23.4
2015-11-14,0.0,0.02040816326530612,0.0,0.32,0.0,1.1142857142857143,5.4,7.8,7.8,29.11428571428572,33.4,23.9
2015-11-21,0.0,0.0,0.0,0.0,0.0,0.0857142857142857,0.6,0.6,0.8,29.32857142857143,33.5,26.4
2015-11-28,0.125,0.02040816326530612,0.0,0.0,0.0,4.228571428571429,3.6,4.6,4.6,28.0,33.6,21.9
2015-12-05,0.0,0.02040816326530612,0.0,0.0,0.0,0.2571428571428571,1.4,1.4,1.4,28.12857142857143,32.9,25.0
2015-12-12,0.125,0.0,0.0,0.0,0.0,0.1999999999999999,1.4,1.4,1.4,28.11428571428572,33.4,25.5
2015-12-19,0.0,0.0,0.0,0.6,0.0,1.657142857142857,6.8,6.8,6.8,27.785714285714285,32.9,23.7
2015-12-26,0.0,0.0,0.0,0.0,0.27,4.057142857142857,13.2,18.0,22.8,27.8,33.6,24.2
2016-01-02,0.0,0.0,0.0,0.31,0.28,9.2,22.2,26.2,28.6,27.97142857142857,33.0,23.2
